Move Me On Down The Line	song	1970	date
Move It On Over	song	1970	date
Midnight Believer	song	1970	date
Master Charge (version 1)	song	1970	date
Mamie	song	1970	date
Madison Blues	song	1970	date
Let The Good Times Roll (Version 1)	song	1970	date
Let Me Make You Cry A Little Longer	song	1970	date
Just Got Paid	song	1970	date
Just Got Back From Baby's	song	1970	date
Jesus Just Left Chicago	song	1970	date
I Wonder Why	song	1970	date
I Want To Be Loved	song	1970	date
I Wanna Get Funky	song	1970	date
I've Got Papers On You	song	1970	date
I've Always Been Lonely	song	1970	date
I'm Ready	song	1970	date
I'll Play The Blues For You (Part 1 and 2)	song	1970	date
I Like To Live The Love	song	1970	date
I Just Can't Leave Your Love Alone	song	1970	date
I Get Evil	song	1970	date
I Don't Care What My Baby Do	song	1970	date
Hummingbird	song	1970	date
How Blue Can You Get	song	1970	date
Hold On	song	1970	date
Hi Fi Mama	song	1970	date
Happy Birthday Blues	song	1970	date
Guitar Man	song	1970	date
Go Underground	song	1970	date
Ghetto Woman	song	1970	date
GetOut Of My Life Woman	song	1970	date
Five Long Years (Version 1)	song	1970	date
Eyesight To The Blind	song	1970	date
Everyday I Have The Blues (Version 2)	song	1970	date
Dust My Broom	song	1970	date
Deep Down In Florida	song	1970	date
Deep Blues Sea	song	1970	date
Crying	song	1970	date
Crosseyed Cat	song	1970	date
Come By Here	song	1970	date
Cocaine Blues	song	1970	date
Change Of Pace	song	1970	date
Chains And Things	song	1970	date
Certified Blues	song	1970	date
Can't You See What You're Doing To Me	song	1970	date
Can't Stop Lovin'	song	1970	date
Call My Job	song	1970	date
Caldonia (Version 1)	song	1970	date
Brown Sugar	song	1970	date
Born Under A Bad Sign	song	1970	date
Blue Shadows	song	1970	date
Blue Jean Blues	song	1970	date
Big Legged Women	song	1970	date
Better Not Look Down	song	1970	date
Bar-B-Q	song	1970	date
Back Door Love Affair	song	1970	date
Ask Me No Questions	song	1970	date
Answer To The Laundromat Blues	song	1970	date
Ain't Nothing You Can Do	song	1970	date
Ain't Nobody's Business	song	1970	date
Ain't Nobody Home	song	1970	date
(Ain't It) A Real Good Sign	song	1970	date
Ain't Gonna Worry My Life Anymore	song	1970	date
A World Full Of Strangers	song	1970	date
A Story Everybody Knows	song	1970	date
You've Become A Habbit To Me	song	1980	date
You've Always Got The Blues	song	1980	date
You Talk Too Much	song	1980	date
You'll Be Mine	song	1980	date
You And Me, Me And You	song	1980	date
Wrap It Up	song	1980	date
Willie The Wimp	song	1980	date
When A Guitar Plays The Blues	song	1980	date
Wall Of Denial lyrics	song	1980	date
Wait On Time	song	1980	date
Voodoo Chile (Slight Return) lyrics	song	1980	date
TuffEnuff	song	1980	date
True Love	song	1980	date
Too Many Dirty Dishes	song	1980	date
Tin Pan Alley lyrics	song	1980	date
Tightrope lyrics	song	1980	date
Think Twice Before You Go	song	1980	date
The Things (That) I Used To Do	song	1980	date
The House Is Rockin' lyrics	song	1980	date
The Highway Is Like A Woman	song	1980	date
The Healer	song	1980	date
That's Alright	song	1980	date
Texas Flood lyrics	song	1980	date
Tell Me	song	1980	date
Teardrops From My Eyes	song	1980	date
Take Off Your Shoes	song	1980	date
T-Bone Shuffle	song	1980	date
Sugar Mama	song	1980	date
Street Life	song	1980	date
Standing On The Edge	song	1980	date
Snowed In	song	1980	date
Snatchin' It Back	song	1980	date
Sell My Monkey	song	1980	date
Scratch-N-Sniff	song	1980	date
Say What!	song	1980	date
Say What! (Live Alive Version)	song	1980	date
Sally Mae	song	1980	date
Rockin' Chair	song	1980	date
Quicksand	song	1980	date
Pride And Joy lyrics	song	1980	date
Poor Boy	song	1980	date
One Of Those Nights	song	1980	date
No Substitute	song	1980	date
Nightlife Please Send Me Someone To Love	song	1980	date
Night Time	song	1980	date
My Mind Is Trying To Leave Me	song	1980	date
My Dream	song	1980	date
Mary Had A Little Lamb lyrics	song	1980	date
Make Love To Me	song	1980	date
Love Struck Baby lyrics	song	1980	date
Love Me Tender	song	1980	date
Love Me Darlin'	song	1980	date
Lookin' Out The Window lyrics	song	1980	date
Look At Little Sister	song	1980	date
